oh,vfatId,vfatCh,iEta,strip,chamber
0,11,25,3,013,4
0,11,26,4,014,4
0,11,27,3,014,4
0,11,28,4,015,4
0,11,29,3,015,4
0,11,30,4,016,4
0,11,31,3,016,4
0,11,32,4,017,4
0,11,33,3,017,4
0,11,34,4,018,4
0,11,35,3,018,4
0,11,36,4,019,4
0,11,37,3,019,4
0,11,38,4,020,4
0,11,39,3,020,4
0,11,40,4,021,4
0,11,41,3,021,4
0,11,42,4,022,4
0,11,43,3,022,4
0,11,44,4,023,4
0,11,45,3,023,4
0,11,46,4,024,4
0,11,47,3,024,4
0,11,48,4,025,4
0,11,49,3,025,4
0,11,50,4,026,4
0,11,51,3,026,4
0,11,52,4,027,4
0,11,53,3,027,4
0,11,54,4,028,4
0,11,55,3,028,4
0,11,56,4,029,4
0,11,57,3,029,4
0,11,58,4,030,4
0,11,59,3,030,4
0,11,60,4,031,4
0,11,61,3,031,4
0,11,62,4,032,4
0,11,63,3,032,4
0,11,64,4,033,4
0,11,65,3,033,4
0,11,66,4,034,4
0,11,67,3,034,4
0,11,68,4,035,4
0,11,69,3,035,4
0,11,70,4,036,4
0,11,71,3,036,4
0,11,72,4,037,4
0,11,73,3,037,4
0,11,74,4,038,4
0,11,75,3,038,4
0,11,76,4,039,4
0,11,77,3,039,4
0,11,78,4,040,4
0,11,79,3,040,4
0,11,80,4,041,4
0,11,81,3,041,4
0,11,82,4,042,4
0,11,83,3,042,4
0,11,84,4,043,4
0,11,85,3,043,4
0,11,86,4,044,4
0,11,87,3,044,4
0,11,88,4,045,4
0,11,89,3,045,4
0,11,90,4,046,4
0,11,91,3,046,4
0,11,92,4,047,4
0,11,93,3,047,4
0,11,94,4,048,4
0,11,95,3,048,4
0,11,96,4,049,4
0,11,97,3,049,4
0,11,98,4,050,4
0,11,99,3,050,4
0,11,100,4,051,4
0,11,101,3,051,4
0,11,102,4,052,4
0,11,103,3,052,4
0,11,104,4,053,4
0,11,105,3,053,4
0,11,106,4,054,4
0,11,107,3,054,4
0,11,108,4,055,4
0,11,109,3,055,4
0,11,110,4,056,4
0,11,111,3,056,4
0,11,112,4,057,4
0,11,113,3,057,4
0,11,114,4,058,4
0,11,115,3,058,4
0,11,116,4,059,4
0,11,117,3,059,4
0,11,118,4,060,4
0,11,119,3,060,4
0,11,120,4,061,4
0,11,121,3,061,4
0,11,122,4,062,4
0,11,123,3,062,4
0,11,124,4,063,4
0,11,125,3,063,4
0,11,126,4,064,4
0,11,127,3,064,4
0,7,0,4,129,4
0,7,1,3,129,4
0,7,2,4,130,4
